"Página";"Sección";"Campo";"Texto actual";"Texto revisado";"Notas"
"Global";"Barra superior";"Nombre";"Dosel";"";""
"Global";"Barra superior";"Bajante";"café y método";"";""
"Global";"Barra superior";"Enlace de menú";"Quiénes somos";"";""
"Global";"Barra superior";"Enlace de menú";"Experiencias";"";""
"Global";"Barra superior";"Enlace de menú";"Productos";"";""
"Global";"Metadata";"Título del sitio (pestaña y al compartir)";"Dosel café y método";"";""
"Global";"Metadata";"Descripción del sitio (buscadores)";"Café de origen colombiano, métodos de preparación y talleres, contados por un biólogo. Cada taza viene de un lugar concreto y aquí te decimos cuál.";"";""
"Global";"Pie de página";"Descripción";"Un café que también es una excusa para hablar de bosques, aves y de dónde viene lo que estás tomando.";"";""
"Global";"Pie de página";"Horario";"Lunes a viernes, 2:00 a 6:00 p. m.";"";"Confirmado por el dueño"
"Global";"Pie de página";"Dirección";"Por confirmar";"";"PENDIENTE — falta la dirección real"
"Global";"Pie de página";"WhatsApp";"https://wa.me/570000000000";"";"PENDIENTE — número falso. El formulario de reserva no le llega a nadie hasta cambiarlo"
"Global";"Pie de página";"Instagram";"https://instagram.com/dosel.cafe";"";"Verificar que la cuenta exista"
"Global";"Pie de página";"Atribución del mapa";"© <año> Dosel café y método. Mapa de departamentos: geoBoundaries, con datos de OpenStreetMap, licencia ODbL 1.0.";"";"NO SE PUEDE QUITAR: es obligación de la licencia ODbL de los datos del mapa"
"Inicio";"Portada";"Titular";"El café bueno crece a la sombra.";"";""
"Inicio";"Portada";"Párrafo";"Dosel es un café con coordenadas. Cada grano viene de una finca, una altura y un bosque concretos, y aquí te decimos cuáles. Lo atiende un biólogo, así que las preguntas son bienvenidas.";"";""
"Inicio";"Portada";"Botón principal";"Ver los cafés y su origen";"";""
"Inicio";"Portada";"Enlace secundario";"Qué es Dosel";"";""
"Inicio";"Diagrama del bosque";"Etiquetas";"Dosel (30 m) · Sotobosque (10 m) · Suelo (0 m)";"";"Se resaltan solas según la sección que estés leyendo"
"Inicio";"30 m, dosel";"Banda";"30 m, dosel";"";""
"Inicio";"30 m, dosel";"Título";"Un café que también explica de dónde viene el café.";"";""
"Inicio";"30 m, dosel";"Bajada";"Café de origen que podemos rastrear hasta la finca, los métodos con que lo preparamos, y talleres y experiencias para gente con curiosidad. Nada de eso es decorativo.";"";""
"Inicio";"Tarjetas de entrada";"Título de tarjeta";"Cafés de origen";"";""
"Inicio";"Tarjetas de entrada";"Texto de tarjeta";"Orígenes que rotan con la cosecha. Cada uno con su finca, su altura y su departamento marcado en el mapa.";"";""
"Inicio";"Tarjetas de entrada";"Enlace de tarjeta";"Ver los cafés";"";""
"Inicio";"Tarjetas de entrada";"Título de tarjeta";"Talleres y métodos";"";""
"Inicio";"Tarjetas de entrada";"Texto de tarjeta";"Galletas, pintura de esculturas y catas guiadas. Y una explicación honesta de por qué el mismo grano sabe distinto en V60 que en prensa.";"";""
"Inicio";"Tarjetas de entrada";"Enlace de tarjeta";"Ver experiencias";"";""
"Inicio";"Tarjetas de entrada";"Título de tarjeta";"Bosque y café";"";""
"Inicio";"Tarjetas de entrada";"Texto de tarjeta";"El dosel es la capa donde el bosque atrapa la luz. La sombra que deja abajo es la que necesita el café para crecer. De ahí el nombre.";"";""
"Inicio";"Tarjetas de entrada";"Enlace de tarjeta";"Conocer Dosel";"";""
"Inicio";"10 m, sotobosque";"Banda";"10 m, sotobosque";"";""
"Inicio";"10 m, sotobosque";"Título";"Cada taza tiene una dirección exacta.";"";""
"Inicio";"10 m, sotobosque";"Bajada";"No decimos «café colombiano» y ya. Decimos el municipio, la finca y los metros sobre el nivel del mar, porque entre más alto hace más frío, y con frío el grano madura más lento y acumula más azúcar. Por eso la altura va en cada ficha.";"";""
"Inicio";"10 m, sotobosque";"Etiqueta de cifra";"Orígenes en carta";"";""
"Inicio";"10 m, sotobosque";"Etiqueta de cifra";"Departamentos";"";""
"Inicio";"10 m, sotobosque";"Botón";"Abrir el mapa de orígenes";"";""
"Inicio";"0 m, suelo";"Banda";"0 m, suelo";"";""
"Inicio";"0 m, suelo";"Título";"Dónde estamos";"";""
"Inicio";"0 m, suelo";"Párrafo";"Los talleres se reservan desde experiencias. Para cualquier otra cosa, escríbenos por WhatsApp. Contestamos en horario de tienda.";"";""
"Quiénes somos";"Encabezado";"Titular";"Un bosque no es una masa verde. Tiene pisos, y cada uno hace algo distinto.";"";""
"Quiénes somos";"Encabezado";"Párrafo";"Dosel tiene alma de biólogo, así que la tienda está organizada como se organiza un bosque: por capas. Cada una es una parte de lo que hacemos. Es una manera de contarlo sin sonar a folleto, y de paso una excusa para explicar cómo funciona un ecosistema mientras te tomas algo.";"";""
