Página,Sección,Campo,Texto actual,Texto revisado,Notas
Global,Barra superior,Nombre,Dosel,Dosel,
Global,Barra superior,Bajante (texto junto al logo),,,ELIMINADO a pedido del cliente — el logo se agrandó y «café y método» ya se lee dentro de la imagen
Global,Barra superior,Menú (versión móvil),Menú,Menú,Etiqueta del desplegable en pantallas chicas
Global,Barra superior,Enlace de menú,Quiénes somos,Quiénes somos,
Global,Barra superior,Enlace de menú,Experiencias,Experiencias,
Global,Barra superior,Enlace de menú,Productos,Productos,
Global,Accesibilidad,Enlace para saltar navegación,Saltar al contenido,Saltar al contenido,Solo visible navegando con teclado
Global,Metadata,Título del sitio (pestaña y al compartir),Dosel café y método,Dosel café y método,
Global,Metadata,Descripción del sitio (buscadores),"Café de origen colombiano, métodos de preparación y talleres, contados por un biólogo. Cada taza viene de un lugar concreto y aquí te decimos cuál.","Café de origen colombiano, métodos de preparación y talleres, desde la mirada de un biólogo. Cada taza viene de un lugar concreto y aquí te contamos cuál.",
Global,Pie de página,Descripción,"Un café que también es una excusa para hablar de bosques, aves y de dónde viene lo que estás tomando.","Un café que nos lleva a hablar de bosques, aves y de todo lo que hay detrás de lo que estás tomando.",
Global,Pie de página,Horario,"Lunes a jueves, 2:00 a 7:00 p. m.","Lunes a jueves, 2:00 a 7:00 p. m.",Confirmado por el dueño (2026-09-11); puede volver a cambiar más adelante
Global,Pie de página,Dirección,Por confirmar,Por confirmar,PENDIENTE — falta la dirección real
Global,Pie de página,WhatsApp,https://wa.me/570000000000,confirmado el celular de whatsapp es +57 320 2250098,PENDIENTE — número falso. El formulario de reserva no le llega a nadie hasta cambiarlo
Global,Pie de página,Instagram,https://instagram.com/dosel.cafe,aún no tenemos pero dejamos el link provisional,Verificar que la cuenta exista
Global,Pie de página,Atribución del mapa,"© <año> Dosel café y método. Mapa de departamentos: geoBoundaries, con datos de OpenStreetMap, licencia ODbL 1.0.","© <año> Dosel café y método. Mapa de departamentos: geoBoundaries, con datos de OpenStreetMap, licencia ODbL 1.0.",NO SE PUEDE QUITAR: es obligación de la licencia ODbL de los datos del mapa
Inicio,Portada,Titular,El café bueno crece a la sombra.,Hay cafés que crecen mejor a la sombra.,
Inicio,Portada,Párrafo,"Dosel es un café con coordenadas. Cada grano viene de una finca, una altura y un bosque concretos, y aquí te decimos cuáles. Lo atiende un biólogo, así que las preguntas son bienvenidas.","Dosel es un café con coordenadas. Cada grano viene de un lugar concreto: una finca, una región, una altura y una historia. Aquí te contamos cuál es la de cada café.",
Inicio,Portada,Botón principal,Ver los cafés y su origen,Ver los cafés y su origen,
Inicio,Portada,Enlace secundario,Qué es Dosel,Qué es Dosel,
Inicio,Diagrama del bosque,Etiquetas,Dosel (30 m) · Sotobosque (10 m) · Suelo (0 m),Dosel (30 m) · Sotobosque (10 m) · Suelo (0 m),Se resaltan solas según la sección que estés leyendo
Inicio,"30 m, dosel",Banda,"30 m, dosel","30 m, dosel",
Inicio,"30 m, dosel",Título,Un café que también explica de dónde viene el café.,Un café que también cuenta la historia de dónde viene.,
Inicio,"30 m, dosel",Bajada,"Café de origen que podemos rastrear hasta la finca, los métodos con que lo preparamos, y talleres y experiencias para gente con curiosidad. Nada de eso es decorativo.","Café de origen que podemos rastrear hasta la finca, métodos de preparación y talleres para gente curiosa. Queremos que conozcas lo que hay detrás de cada taza.",
Inicio,Tarjetas de entrada,Título de tarjeta,Cafés de origen,Cafés de origen,
Inicio,Tarjetas de entrada,Texto de tarjeta,"Orígenes que rotan con la cosecha. Cada uno con su finca, su altura y su departamento marcado en el mapa.","Orígenes que rotan con la cosecha. Cada uno con su finca, su altura y su departamento en el mapa.",
Inicio,Tarjetas de entrada,Enlace de tarjeta,Ver los cafés,Ver los cafés,
Inicio,Tarjetas de entrada,Título de tarjeta,Talleres y métodos,Talleres y métodos,
